Empresa,COD_LOCAL,VELOC_VIA,VELOC_MARCA,VIA,SENTIDO,PISTA,Latitude,Longitude,Enquadramento_fiscalizados,Data_inicio_operacao,DESC_LOCAL,,,,,,,,,,,,,,,,,
L4,2545,60,68,,,,'-23.68896900000000000,'-46.68006500000000000,,,AV,NOSSA,SENHORA,DO,SABARA,"(C/B),",A,MAIS,"143,5M",DA,R,TABARE-FX,EXCLUS,DE,ONIBUS,,,
,2546,60,68,,,,,,,,AV,CUPECE,"(DIADEMA/MARG),",A,MENOS,14MDA,R,ANALIA,M,DE,JESUS,#NAME?,EXCL,DE,ONIBUS,,,
,2547,60,68,,,,,,,,AVENIDA,CUPECE,"(DIADEMA/MARGINAL),",A,MENOS,14M,DA,RUA,ANALIA,MARIA,DE,JESUS,,,,,,
L4,2548,60,68,,,,'-23.67649100000000000,'-46.64183400000000000,,,AV,CUPECE,"(DIADEMA/MARGINAL),",A,MAIS,26M,DA,R,JOSE,V,SIMOES,-,FX,EXCL,DE,ONIBUS,,
L4,2549,60,68,,,,'-23.67649100000000000,'-46.64183400000000000,,,AVENIDA,CUPECE,"(DIADEMA/MARGINAL),",A,MAIS,26,METROS,DA,RUA,JOSE,VIRGINIO,SIMOES,,,,,,
L4,2550,50,58,,,,'-23.71250699999999900,'-46.70982399999999800,,,AV,ATLANTICA,"(BAIRRO/CENTRO),",A,MENOS18M,DA,R,NICOLAU,MAGNOLI-FX,EXC,DE,ONIBUS,,,,,,
L4,2551,60,68,,,,'-23.71250699999999900,'-46.70982399999999800,,,AVENIDA,ATLANTICA,"(BAIRRO/CENTRO),",A,MENOS,18,METROS,DA,RUA,NICOLAU,MAGNOLI,,,,,,,
L4,2552,60,68,,,,'-23.57341800000000000,'-46.73723600000000300,,,AV,CORIFEU,DE,AZEVEDO,MARQUES,"(BAIRRO/CENTRO),",A,MAIS,190M,DA,R,AMORIM,CASTRO,,,,,
L4,2553,60,68,,,,'-23.57341800000000000,'-46.73723600000000300,,,AV,CORIFEU,DE,A,MARQUES,"(B/C),",A,MAIS190M,DA,R,AMORIM,CASTRO-FX,EXC,DE,ONIBUS,,,
L4,2554,60,68,,,,'-23.57077200000000200,'-46.74014300000000300,,,AV,CORIFEU,DE,AZEVEDO,MARQUES,(C/B),AMAIS,92M,DA,R,PROF,GABRIEL,ST,DE,CARVALHO,,,
L4,2555,60,68,,,,'-23.57077200000000200,'-46.74014300000000300,,,AV,CORIFEU,DE,A,MARQUES,(C/B),A,MAIS92M,DA,R,P,GABRIEL,ST,DE,CARV-FX,EXC,ONIB,
L4,2556,50,58,,,,'-23.74459600000000100,'-46.70683300000000300,,,AVENIDA,SENADOR,TEOTONIO,VILELA,"(BAIRRO/CENTRO),",NR,5351,-,FAIXA,EXCL,DE,ONIBUS,,,,,,
L4,2557,60,68,,,,'-23.74459600000000100,'-46.70683300000000300,,,AVENIDA,SENADOR,TEOTONIO,VILELA,"(BAIRRO/CENTRO),",NUMERO,5351,,,,,,,,,,,
L4,2558,50,58,,,,'-23.76431500000000000,'-46.71652999999999900,,,AV,SEN,TEOTONIO,VILELA,(C/B),A,MENOS,10M,DA,R,BALNEARIO,S,JOSE-FX,EXC,DE,ONIBUS,,
L4,2559,60,68,,,,'-23.76431500000000000,'-46.71652999999999900,,,AV,SENADOR,TEOTONIO,VILELA,"(CENTRO/BAIRRO),",A,MENOS,10M,DA,R,BALNEARIO,S,JOSE,,,,,
L4,2560,60,68,,,,'-23.62148500000000000,'-46.73364300000000100,,,AVENIDA,GIOVANNI,GRONCHI,"(CENTRO/BAIRRO),",A,MENOS,22,METROS,DO,NUMERO,4864,,,,,,,
L4,2561,60,68,,,,'-23.63694599999999800,'-46.73702600000000000,,,AVENIDA,GIOVANNI,GRONCHI,"(CENTRO/BAIRRO),",A,MAIS,45,METROS,DA,RUA,CAXE,,,,,,,
L4,2562,60,68,,,,'-23.63694599999999800,'-46.73702600000000000,,,AV,GIOVANNI,GRONCHI,(CENTRO/BAIRRO),AMAIS,45M,DA,R,CAXE-FX,EXCLUSIVA,DE,ONIBUS,,,,,,
L4,2563,60,68,,,,'-23.63635599999999900,'-46.73696900000000200,,,AVENIDA,GIOVANNI,GRONCHI,"(BAIRRO/CENTRO),",NUMERO,6701,,,,,,,,,,,,
L4,2564,50,58,,,,'-23.64595400000000000,'-46.70955699999999700,,,AVENIDA,JOAO,DIAS,"(CENTRO/BAIRRO),",A,MAIS,"24,7M",DO,NUMERO,966-FX,EXCL,DE,ONIBUS,,,,,
L4,2565,60,68,,,,'-23.64595400000000000,'-46.70955699999999700,,,AVENIDA,JOAO,DIAS,"(CENTRO/BAIRRO),",A,MAIS,"24,7",METROS,DO,NUMERO,966,,,,,,,
L4,2566,50,58,,,,'-23.64594800000000100,'-46.71016699999999800,,,AV,JOAO,DIAS,"(B/C),",A,MAIS,"7,9M",DA,R,BARAO,DO,RIO,BRANCO-FX,EXCLUSIVA,DE,ONIBUS,,
L4,2567,60,68,,,,'-23.64594800000000100,'-46.71016699999999800,,,AVENIDA,JOAO,DIAS,"(BAIRRO/CENTRO),",A,MAIS,"7,9",METROS,DA,RUA,BARAO,DO,RIO,BRANCO,,,,
L4,2568,60,68,,,,'-23.61290700000000000,'-46.75494799999999900,,,ESTRADA,DO,CAMPO,LIMPO,(CAMPO,LIMPO/VLSONIA),A,MAIS,123M,DA,R,DOMINGOS,DE,MEIRA,,,,
L4,2569,60,68,,,,'-23.61290700000000000,'-46.75494799999999900,,,EST,DO,CAMPO,LIMPO,(C,L/V,"SON),A",MAIS123M,DA,R,DOMINGOS,DE,MEIRA-FX,EXC,ONIBUS,,,
,2570,50,58,,,,,,,,AV,VER,JOSE,DINIZ,"(B/C),",A,MENOS,70M,DA,R,AMERICO,BRASILIENSE-FX,EXCL,DE,ONIBUS,,,
,2571,60,68,,,,,,,,AV,VEREADOR,JOSE,DINIZ,"(BAIRRO/CENTRO),",A,MENOS,70M,DA,R,AMERICO,BRASILIENSE,,,,,,
L4,2572,60,68,,,,'-23.68421899999999900,'-46.68110999999999700,,,AVENIDA,NOSSA,SENHORA,DO,SABARA,"(BAIRRO/CENTRO),",NUMERO,3515,,,,,,,,,,
L4,2573,60,68,,,,'-23.68396600000000200,'-46.68127799999999900,,,AVENIDA,NOSSA,SENHORA,DO,SABARA,"(CENTRO/BAIRRO),",NUMERO,3446,,,,,,,,,,
L4,2574,60,68,,,,'-23.66989299999999800,'-46.68881600000000300,,,AVENIDA,NOSSA,SENHORA,DO,SABARA,"(CENTRO/BAIRRO),",A,MAIS,10M,DA,RUA,QUARARIBEIA,,,,,,
L4,2575,60,68,,,,'-23.66849300000000200,'-46.68939999999999900,,,AV,NOSSA,SENHORA,DO,SABARA,"(B/C),",A,MAIS,10M,DA,R,MONSENHOR,ALFREDO,P,SAMPAIO,,,
L4,2576,60,68,,,,'-23.69419699999999900,'-46.67747099999999700,,,AVENIDA,NOSSA,SENHORA,DO,SABARA,"(CENTRO/BAIRRO),",A,MENOS,43M,DO,NUMERO,4780,,,,,,
L4,2577,60,68,,,,'-23.66611700000000000,'-46.65665400000000300,,,AVENIDA,CUPECE,"(MARGINAL/DIADEMA),",NUMERO,2958,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,,
L4,2578,60,68,,,,'-23.66611700000000000,'-46.65665400000000300,,,AVENIDA,CUPECE,"(MARGINAL/DIADEMA),",NUMERO,2958,,,,,,,,,,,,,
L4,2579,60,68,,,,'-23.67608879999999900,'-46.64211300000000200,,,AV,CUPECE,"(MARGINAL/DIADEMA),",A,MAIS,20M,DO,NUMERO,-4820,FX,EXCLUSIVA,DE,ONIBUS,,,,,
L4,2580,60,68,,,,'-23.67608879999999900,'-46.64211300000000200,,,AVENIDA,CUPECE,"(MARGINAL/DIADEMA),",A,MAIS,20,METROS,DO,NUMERO,4820,,,,,,,,
L4,2581,70,78,Local,CB/I,Marginal Pinheiros,,,,,AV,ENG,BILLINGS,"(C.BRANCO/INTERLAGOS),",A,MAIS,22,METROS,DA,R,BARAO,DE,ANTONINA,,,,,
L4,2582,70,78,Local,CB/I,Marginal Pinheiros,,,,,AVENIDA,GUIDO,CALOI,(CASTELO,"BRANCO/INTERLAGOS),",A,MAIS,72,METROS,DO,NUMERO,25,,,,,,
L4,2583,50,58,,,,'-23.75323699999999900,'-46.68834300000000300,,,AVENIDA,DONA,BELMIRA,MARIN,"(BAIRRO/CENTRO),",A,MENOS,60,METROS,DO,NUMERO,2672,,,,,,
L4,2584,50,58,,,,'23.75338599999999900,'-46.68853800000000100,,,AV,DONA,BELMIRA,MARIN,(CENTRO/BAIRRO)A,MAIS,60M,DA,R,ELISIA,GONCALVES,BARCELOS,,,,,,
L4,2585,50,58,,,,'-23.74419000000000000,'-46.69086500000000200,,,AV,DONA,BELMIRA,MARIN,"(C/B),",A,MAIS,322M,DA,AV,ANTONIO,C,BENJAMIN,DOS,SANTOS,,,
L4,2586,50,58,,,,'-23.73696100000000100,'-46.69366800000000200,,,AV,DONA,BELMIRA,MARIN,"(CENTRO/BAIRRO),",A,MAIS,63,METROS,DA,R,DOMENICO,CIMAROSA,,,,,
L4,2587,60,68,,,,'-23.59572800000000100,'-46.71418880000000200,,,AVENIDA,GIOVANNI,GRONCHI,"(CENTRO/BAIRRO),",OPOSTO,AO,NUMERO,705,,,,,,,,,,
L4,2588,60,68,,,,'-23.58689899999999900,'-46.69319200000000300,,,AVENIDA,DOS,TAJURAS,"(BAIRRO/CENTRO),",NUMERO,406,,,,,,,,,,,,
L4,2589,60,68,,,,'-23.65387500000000000,'-46.75979600000000000,,,ESTRADA,DE,ITAPECERICA,(CENTRO/BAIRRO),A,MENOS,55M,DA,RUA,JOAO,FRANCISCO,DELMAS,,,,,,
L4,2590,50,58,,,,'-23.65383500000000000,'-46.75968600000000000,,,ESTRADA,DE,ITAPECERICA,"(BAIRRO/CENTRO),",NUMERO,2979,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,
L4,2591,60,68,,,,'-23.65383500000000000,'-46.75968600000000000,,,ESTRADA,DE,ITAPECERICA,"(BAIRRO/CENTRO),",NUMERO,2979,,,,,,,,,,,,
,2592,70,78,,,,,,,,AV,DAS,NACOES,UNIDAS,(C.,"BRANCO/INTER),",A,MENOS,50M,DO,N,20728-FX,EXC,DE,ONIBUS,,,
L4,2593,50,58,,,,'-23.62499400000000100,'-46.68212100000000200,,,AV,VEREADOR,JOSE,DINIZ,"(B/C),",A,MAIS,26M,DA,R,JOAQUIM,NABUCO-FX,EXCL,DE,ONIBUS,,,
L4,2594,60,68,,,,'-23.62499400000000100,'-46.68212100000000200,,,AVENIDA,VEREADOR,JOSE,DINIZ,"(BAIRRO/CENTRO),",A,MAIS,26M,DA,RUA,JOAQUIM,NABUCO,,,,,,
L4,2595,60,68,,,,'-23.62478799999999900,'-46.68243400000000100,,,AV,VEREADOR,JOSE,DINIZ,(CENTRO/BAIRRO),X,R,JOAQUIM,NABUCO,,,,,,,,,
L4,2596,50,58,,,,'-23.62478799999999900,'-46.68243400000000100,,,AV,VEREADOR,JOSE,DINIZ,(CENTRO/BAIRRO),X,R,JOAQUIM,NABUCO,-,FAIXA,EXCLUS,DE,ONIBUS,,,,
L4,2597,50,58,,,,'-23.74079500000000000,'-46.69139100000000000,,,AV,DONA,BELMIRA,MARIN,(BAIRRO/CENTRO)A,MENOS,6M,DA,R,TEN,CEL,HERMAN,JOSE,ROCHA,,,,
,2598,50,58,,,,,,,,AV,PROF,FRANCISCO,MORATO,"(C/B),",A,MENOS,"10,5M",DA,R,DRAUSIO-FX,EXCL,DE,ONIBUS,,,,
,2599,60,68,,,,,,,,AVENIDA,PROFESSOR,FRANCISCO,MORATO,(CENTRO/BAIRRO),A,MENOS,"10,5M",DA,RUA,DRAUSIO,,,,,,,
,2600,50,58,,,,,,,,AV,P,FRANCISCO,MORATO,"(B/C),",A,MENOS,2M,DA,R,GAL,S,VASCONCELOS-FX,EXC,DE,ONIBUS,,
,2601,60,68,,,,,,,,AV,PROF,FRANCISCO,MORATO,"(BAIRRO/CENTRO),",A,MENOS,2M,DA,R,GAL,SENA,VASCONCELOS,,,,,
L4,2602,50,58,,,,'-23.63685800000000000,'-46.69380999999999900,,,AV,VER,JOSE,DINIZ,"(B/C),",A,MENOS,70M,DA,R,AMERICO,BRASILIENSE,#NAME?,EXC,DE,ONIBUS,,
L4,2603,60,68,,,,'-23.63685800000000000,'-46.69380999999999900,,,AV,VEREADOR,JOSE,DINIZ,"(BAIRRO/CENTRO),",A,MENOS,70M,DA,R,AMERICO,BRASILIENSE,,,,,,
,2604,60,68,,,,,,,,AVENIDA,INTERLAGOS,"(BAIRRO/CENTRO),",NUMERO,5019,,,,,,,,,,,,,
,2605,60,68,,,,,,,,AVENIDA,INTERLAGOS,"(CENTRO/BAIRRO),",AMENOS,28,METROS,DA,RUA,OLISSARA,,,,,,,,,
,2606,50,58,,,,,,,,ESTRADA,DO,M,BOI,MIRIM,"(B/C),",A,MAIS,15M,DA,RUA,EMILIO,KERR,-,FX,EXCL,DE,ONIBUS
,2607,60,68,,,,,,,,ESTRADA,DO,M,BOI,MIRIM,"(BAIRRO/CENTRO),",A,MAIS,15,METROS,DA,RUA,EMILIO,KERR,,,,
,2608,50,58,,,,,,,,ESTRADA,DO,M,BOI,MIRIM,"(BAIRRO/CENTRO),",NUMERO,4881,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,
,2609,60,68,,,,,,,,ESTRADA,DO,M,BOI,MIRIM,"(BAIRRO/CENTRO),",NUMERO,4881,,,,,,,,,,
,2610,50,58,,,,,,,,AV,ENG,ARMANDO,DE,ARRUDA,PEREIRA,"(BAIRRO/CENTRO),",A,MAIS,15M,DA,R,FACHINI,,,,,
L4,2611,70,78,Local,I/CB,Marginal Pinheiros,'-23.63728899999999900,'-46.72033700000000100,,,AV,DAS,NACOES,UNIDAS,(INTERLAGOS/C.,"BRANCO),",A,MAIS,10M,DA,R,BRAGANCA,PAULISTA,,,,,
L4,2612,60,68,Local,I/CB,Marginal Pinheiros,,,,,AV,DAS,NACOES,UNIDAS,(INTER/C.,BRANCO),X,R,GURIU,,,,,,,,,
,2613,60,68,,,,,,,,AV,DOS,"BANDEIRANTES,",PISTA,EXPRESSA,"(MARG/IMIG),",A,MAIS,23M,DA,R,PORTO,MARTINS,,,,,
L4,2614,60,68,,,,'-23.63023400000000200,'-46.77049600000000100,,,ESTRADA,DO,CAMPO,LIMPO,"(CENTRO/BAIRRO),",NUMERO,3677,,,,,,,,,,,
L4,2615,60,68,,,,'-23.63069499999999900,'-46.77055000000000000,,,ESTRADA,DO,CAMPO,LIMPO,"(BAIRRO/CENTRO),",A,MAIS,35,METROS,DA,RUA,BATISTA,CRESPO,,,,,
L4,2616,60,68,,,,'-23.57494200000000000,'-46.76557199999999900,,,AVENIDA,ESCOLA,POLITECNICA,(MARGINAL,"PINHEIROS/RAPOSO),",NUMERO,5050,,,,,,,,,,,
L4,2617,60,68,,,,'-23.57283800000000100,'-46.76419800000000000,,,AVENIDA,ESCOLA,POLITECNICA,(RAPOSO/MARGINAL,"PINHEIROS),",NUMERO,5173,,,,,,,,,,,
L4,2618,60,68,,,,'-23.56464199999999900,'-46.75446699999999800,,,AVENIDA,ESCOLA,POLITECNICA,(RAPOSO/MARGINAL,PINHEIROS),A,MAIS,29M,DO,NR,3545,,,,,,,
L4,2619,50,58,,,,'-23.65667200000000000,'-46.63653600000000000,,,AV,ENG,ARMANDO,DE,ARRUDA,PEREIRA,"(C/B),",A,MAIS,121M,DA,R,LUIZ,CARLOS,FACHINI,,,
,4000,50,58,,,,,,,,AV.,ROBERT,"KENNEDY,","C/B,",DEFR,Ná,"1998,PROX.",R.,BENEDITO,"LEITE,",FX.,EXCL.,ONIBUS,,,,,
,4001,50,58,,,,,,,,AV.,ROBERT,"KENNEDY,","B/C,",OP.,Ná,"188,PROX.",RUA,CARLOS,"KLEIN,",FX.,EXCL.,ONIBUS,,,,,
,4002,50,58,,,,,,,,AV.,SENADOR,TEOTONIO,"VILELA,","B/C,",PROXAV.,PRES.,JOAO,"GOULART,",FX.,EXCL.,ONIBUS,,,,,,
,4003,50,58,,,,,,,,AV.,JOAO,"DIAS,","C/B,",EM,FRENTE,A,PRACASANTO,INACIO,DE,"LOYOLA,",FX.,EXCL.,ONIBUS,,,,
,4004,50,58,,,,,,,,ESTR.,DE,"ITAPECERICA,","CENTRO/BAIRRO,DEFRONTE",AO,NUM.,"1024,",FX.,EXCL.,ONIBUS,,,,,,,,
,4005,50,58,,,,,,,,AV.,JOAO,"DIAS,","B/C,",OP.,Ná,"1089,",PROX.R.,BARAO,DO,RIO,"BRANCO,",FX.,EXCL.,ONIBUS,,,
,4006,50,58,,,,,,,,ESTR,DE,"ITAPECERICA,B/C,DEFR","507,",PROXR,TEN,ISAIAS,BRANCO,DE,"ARAUJO,",FX,EXCL,ON,,,,,
,4007,50,58,,,,,,,,AV.,SANTO,"AMARO,","C/B,",DEFR.,NUM.,"4718,PROX.",R.,PASSAROS,E,"FLORES,",FX,EXCL,ONIB,,,,
,4008,50,58,,,,,,,,AV.,SANTO,"AMARO,",SENT.,"C/B,",LADO,"PAR,PROX.",R.,LAMARTINE,"BABO,",FX.,EXCL.,ONIBUS,,,,,
,4009,50,58,,,,,,,,AV,SANTO,"AMARO,","C/B,",DEFR,N,"6957,","LADO≤MP,",PROX,R,DA,"FRATERNIDADE,",FX,EXCL,ONIB,,,
,4010,50,58,,,,,,,,ESTRADA,DO,M,BOI,"MIRIM,","CENTRO/BAIRRO,EM",FRENTE,AO,NUM.,"1065,",FX.,EXCL.,ONIBUS,,,,,
,4011,50,58,,,,,,,,ESTR.,DO,M,BOI,"MIRIM,","B/C,",DEFR,N,"971,PROX",R,MANUEL,PINTO,"GUEDES,",FX,EXCL,ONIB,,
,4012,50,58,,,,,,,,AV.,VEREADOR,JOSE,"DINIZ,",SENT.,"C/B,PROX.",R.,JOAQUIM,"NABUCO,",FX.,EXCL.,ONIBUS,,,,,,
,4013,50,58,,,,,,,,AV.,VEREADOR,JOSE,"DINIZ,","B/C,",DEFR.,"Ná2088,",PROX.,R.,DO,"NIQUEL,",FX.,EXCL,ONIBUS,,,,
,4014,50,58,,,,,,,,AV.,SANTO,"AMARO,","CENTRO/BAIRRO,",PROX.A,RUA,"NEBRASKA,",FAIXA,EXCLUSIVA,ONIBUS,,,,,,,,
,4015,50,58,,,,,,,,AV.,SANTO,"AMARO,","B/C,",DEFR.,NUM.,"2591,PROX.",A,RUA,"IRAUNA,",FX.,EXCL.,ONIBUS,,,,,
,4016,50,58,,,,,,,,ESTRADA,DO,M,BOI,"MIRIM,","B/C,",DEFRONTEAO,NUM.,"2053,",FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,
,4017,50,58,,,,,,,,AV.,ROBERT,"KENNEDY,","B/C,",PROX.,RUANICOLAU,"ALAYON,",FX.,EXCL.,ONIBUS,,,,,,,,
,4018,50,58,,,,,,,,AV.,SENADOR,TEOTONIO,"VILELA,","B/C,",PROXNUM.,"3141,",FX.,EXCL.,ONIBUS,,,,,,,,
,4019,50,58,,,,,,,,AV.,JOAO,"DIAS,","C/B,",OP.,Ná,"1805,",PROX.RUA,DOS,"MISSIONARIOS,",FX.,EXCL.,ONIBUS,,,,,
,4020,50,58,,,,,,,,ESTR.,DE,"ITAPECERICA,","CENTRO/BAIRRO,DEFRONTE",NUM.,"1896,",FX.,EXCL.,ONIBUS,,,,,,,,,
,4021,50,58,,,,,,,,ESTR.,DE,"ITAPECERICA,","B/C,",DEFR,N,"779,PROX.",R.,JOSEFINA,"MORETTI,",FX.,EXCL.,ONIB,,,,,
,4022,50,58,,,,,,,,AV.,SANTO,"AMARO,","C/B,",DEFR.,NUM.,"3776,PROX.",RUA,"PENSILVANIA,",FX.,EXCL.,ONIBUS,,,,,,
,4023,50,58,,,,,,,,AV.,STO,"AMARO,","C/B,",OP,"6899,",LADO,"PAR,PROX.",R.,DA,"FRATERNIDADE,",FX.,EXCL.,ONIB,,,,
,4024,50,58,,,,,,,,AV.,STO,"AMARO,","C/B,",OP,"6635,",LADO,"IMP,PROX.",R.,VERBO,"DIVINO,",FX.,EXCL.,ONIBUS,,,,
,4025,50,58,,,,,,,,AV.,SENADOR,TEOTONIO,"VILELA,","B/C,",PROXRUA,"CANTAURA,",FX.,EXCL.,ONIBUS,,,,,,,,
,4026,50,58,,,,,,,,AV.,JOAO,"DIAS,","C/B,",DEFR.,Ná,"676,",PROXRUA,FRANCISCO,DE,"GODOI,",FX.,EXCL.,ONIBUS,,,,
,4027,50,58,,,,,,,,ESTR.,DE,"ITAPECERICA,","C/B,",PROX.,RUAROGERIO,DE,PAULA,"BRITO,",FX.,EXCL.,ONIBUS,,,,,,
,4028,50,58,,,,,,,,AV.,SANTO,"AMARO,","CENTRO/BAIRRO,OPOSTO",NUM.,"5517,",FX.,EXCL.,ONIBUS,,,,,,,,,
,4029,50,58,,,,,,,,AV.,SANTO,"AMARO,","BAIRRO/CENTRO,",DEFR.NUM.,"5461,",FX.,EXCL.,ONIBUS,,,,,,,,,
,4030,50,58,,,,,,,,ESTR.,DE,"ITAPECERICA,","B/C,",PROX.,RUAMANUEL,DE,"BURGOS,",FX.,EXCL.,ONIBUS,,,,,,,
,4031,50,58,,,,,,,,AV.,SANTO,"AMARO,","C/B,",DEFR.,NUM.,"5958,LADO","PAR,",PROX.,R.,DA,"PAZ,",FX.,EXCL.,ON.,,,
,4032,50,58,,,,,,,,AV.,SANTO,"AMARO,","B/C,",DEFR.,NUM.,"4963,OP.",R.,PASSAROS,E,"FLORES,",FX.,EXCL.,ONIB,,,,
,4033,50,58,,,,,,,,AV.,SANTO,"AMARO,","C/B,",LADO,"IMPAR,",PROXRUA,DA,"PAZ,",FX.,EXCL.,ONIBUS,,,,,,
,4034,50,58,,,,,,,,AV.,SANTO,"AMARO,","B/C,",OP.,NUM.,"3105,PROX.",RUA,"GEORGIA,",FX.,EXCL.,ONIBUS,,,,,,
,4035,50,58,,,,,,,,AV.,SANTO,"AMARO,","B/C,",OPOSTO,NUM.,3454PROX.,A,RUA,"PASCAL,",FX.,EXCL.,ONIBUS,,,,,
,4036,50,58,,,,,,,,AV.,SANTO,"AMARO,","B/C,",OPOSTO,NUM.,4190PROX.,R.,CARLO,"PRINA,",FX.,EXCL.,ONIBUS,,,,,
,4037,60,68,,,,,,,,AV.,ESCOLA,"POLITECNICA,",PX.,R.,JOAQUIMN.,LOPES,SENT.RAP.TAVARES/MARG.PINHEIROS,,,,,,,,,,
,4038,60,68,,,,,,,,AV.ESCOLA,"POLITECNICA,",OPOS.AV,JOSE,"DEA.RIBEIRO,SENT.MARG.PINHEIROS/RAP.TAVARES",,,,,,,,,,,,,
,4039,60,68,,,,,,,,AV.ESCOLA,"POLITECNICA,OP.TRAV.BENJAMIMBELLEMO,SENT.MARG.PINHEIROS/RAP.TAVARES",,,,,,,,,,,,,,,,
,4040,60,68,,,,,,,,AV.,ESCOLA,"POLITECNICA,",PROX.,AO,NUM.760,(SENT.MARG.,PINHEIROS/RAPOSO,TAVARES),,,,,,,,,
,4041,60,68,,,,,,,,AV.ESCOLA,"POLITECNICA,",PROX.AV.JOSE,DEA.RIBEIRO,SENT.RAP.TAVARES/MARG.PINHEIROS,,,,,,,,,,,,,
,4042,60,68,,,,,,,,AV.,ESCOLA,"POLITECNICA,PROX.AV.TORRESDE",OLIVEIRA,SENT.R.TAVARES/MARG.PINHEIROS,,,,,,,,,,,,,
,4043,60,68,,,,,,,,AV.,SEN.,TEOTONIO,"VILELA,",PROXIMO,EOPOSTO,AO,N.,6880,-,SENT.,BAIRRO/CENTRO,,,,,,
,4044,60,68,,,,,,,,AV.,SEN.,TEOTONIO,"VILELA,",DEFRONTE,AON.,6680,-,SENT.,CENTRO/BAIRRO,,,,,,,,
,4045,60,68,,,,,,,,AV.SEN.,TEOTONIO,"VILELA,",OPOSTO,AON.,7634,-,SENT.,CENTRO/BAIRRO,,,,,,,,,
,4046,60,68,,,,,,,,AV.,NOSSA,SENHORA,DO,"SABARA,",DEFRONTEAO,N.,4780,-,SENT.,CENTRO/BAIRRO,,,,,,,
,4047,60,68,,,,,,,,AV.,NOSSA,SENHORA,DO,"SABARA,",OPOSTOAO,N.,1831,-,SENT.,CENTRO/BAIRRO,,,,,,,
,4048,60,68,,,,,,,,AV.,EMERICO,"RICHTER,",OPOSTO,AO,N.,6011,-,SENT.,CENTRO/BAIRRO,,,,,,,,
,4049,60,68,,,,,,,,AV.,NSA.,SENHORA,DO,"SABARA,",PROX.,RUAMONS.,ALFREDO,P.,SAMPAIO,-,SENT.,B/C,,,,,
,4050,60,68,,,,,,,,AV.,JORN.,ROBERTO,"MARINHO,",PROX.,RUACALIFORNIA,#NAME?,,,,,,,,,,,
,4051,60,68,,,,,,,,AV.JORN.,ROBERTO,"MARINHO,",DEFRONTE,AO,N.1113,-,SENT.JABAQUARA/MARG.,PINHEIROS,,,,,,,,,
,4052,60,68,,,,,,,,AV.JORN.,ROBERTO,"MARINHO,",DEFRONTE,AON.3044,-,SENT.,JABAQUARA/MARG.,PINHEIROS,,,,,,,,,
,4053,60,68,,,,,,,,AV.JORN.,ROBERTO,"MARINHO,",PROXIMO,RUATIBIRICA,-,SENT.,MARG.PINHEIROS/JABAQUARA,,,,,,,,,,
,4054,60,68,,,,,,,,AV.,PROF.,VICENTE,"RAO,",PROX.,R.,SONIARIBEIRO-SENT.WASHINGTON,LUIS/M.,PINHEIROS,,,,,,,,,
,4055,60,68,,,,,,,,AV.PROF.VICENTE,"RAO,",OPOSTO,RUA,SONIARIBEIRO-SENT.M.PINHEIROS/WASHINGTON,LUIS,,,,,,,,,,,,
,4056,60,68,,,,,,,,RUA,BOM,"PASTOR,",DEFRONTE,AO,N.,2133,#NAME?,BAIRRO/CENTRO,,,,,,,,,
,4057,60,68,,,,,,,,AV.DR.FRANCISCO,"MESQUITA,AP‰S",2ó,ENTRADA,DO,CENTRAL,PLAZA,"SHOPPING,SP/STO",ANDRE,,,,,,,,,
,4058,60,68,,,,,,,,AV.,DR.,FRANCISCO,"MESQUITA,",PX.R.VILAPRUDENTE,(SENT.,STO,ANDRE/SAO,PAULO),,,,,,,,,
,4059,60,68,,,,,,,,AV.,"MORUMBI,",OPOSTO,AO,NUMERO,6341,(SENTIDO,PALACIO,DO,GOVERNO/PTE,DO,MORUMBI),,,,,,
,4060,60,68,,,,,,,,AV,"MORUMBI,",PROX.,E,OPOSTO,A,R.COLEGIO,PIO,XII-SENT.PTE.MORUMBI/PALACIO,GOVERNO,,,,,,,,
,4061,60,68,,,,,,,,AV.,"MORUMBI,",PROX.,AO,NUMERO,5101,(SENTIDO,PTE,DO,MORUMBI/PALACIO,DO,GOVERNO),,,,,,
,4062,60,68,,,,,,,,AV.,"MORUMBI,",PROX.,NUM.,2128,(SENTIDOAV,PROF.,FRANCISCO,MORATO/PTE,DO,MORUMBI),,,,,,,
,4063,60,68,,,,,,,,AV.,"MORUMBI,",OPOSTO,NUM.,3574,(SENTIDOPTE,DO,MORUMBI/AV.,FRANCISCO,MORATO),,,,,,,,
,4064,60,68,,,,,,,,AV.VER.JOAO,DE,"LUCA,",DEFRONTE,AO,N.790,-,SENTIDO,MARG.PINHEIROS/DIADEMA,,,,,,,,,
,4065,60,68,,,,,,,,AV.,VER.,JOAO,DE,"LUCA,",DEFRONTE,"NUM.221,",(SENTIDO,DIADEMA/MARGINAL,PINHEIROS),,,,,,,,
,4066,50,58,,,,,,,,AV.,"CECI,",PROXIMO,AO,N.,581,-,SENTIDOAV.,JABAQUARA,/,AV.,MOREIRA,GUIMARAES,,,,,
