6020,9902015,Estrada,do,M',Boi,Mirim,altura,do,numero,6880,(Bairro/Centro),,,,,,,,
6021,9902011,Av.,IV,Centenario,proximo,a,Rua,Leiria,(Bairro/Centro),,,,,,,,,,
6022,9902011,Av.,IV,Centenario,proximo,a,Rua,Leiria,(Centro/Bairro),,,,,,,,,,
6023,9902012,Rua,Padre,Arlindo,Vieira,-,altura,n0,3.1,(Anchieta/Imigrantes),,,,,,,,,
6024,9902012,Rua,Padre,Arlindo,Vieira,-,altura,n0,3.1,-,(Imigrantes/Anchieta),,,,,,,,
6025,9902016,Av.,Angelo,Cristianini,-,proximo,a,Rua,Primo,Fazzini,-,(Centro/Bairro),,,,,,,
6026,9902016,Av.,Angelo,Cristianini,-,proximo,a,Rua,Primo,Fazzini,#NAME?,,,,,,,,
6027,9902021,Av.,do,Oratorio,-,altura,do,n0,3.191,-,(Centro/Bairro),,,,,,,,
6028,9902021,Av.,do,Oratorio,-,altura,do,n0,3.191,-,(Bairro/Centro),,,,,,,,
6029,9902013,Av.,Vila,Ema,-,altura,do,n0,5.475,-,(Bairro/Centro),,,,,,,,
6030,9902013,Av.,Vila,Ema,-,altura,do,n0,5.475,-,(Centro/Bairro),,,,,,,,
6031,9902020,Rua,Dom,Vilares,proximo,a,Rua,Evolucao,(Anchieta/Imigrantes),,,,,,,,,,
6032,9902020,Rua,Dom,Vilares,proximo,a,Rua,Evolucao,(Imigrantes/Anchieta),,,,,,,,,,
6033,9902023,Av.,Pedro,Bueno,proximo,a,Rua,Monsenhor,Antonio,Pepe,(Bairro/Centro),,,,,,,,
6034,9902024,Av.,Pedro,Bueno,proximo,a,Rua,Monsenhor,Antonio,Pepe,(Centro/Bairro),,,,,,,,
6035,9902014,Rua,Dr.,Francisco,Thomaz,de,Carvalho,prox.,a,R.Ernest,Renan,(Giovanni/Morumbi),,,,,,,
6036,9902014,Rua,Dr.,Francisco,Thomaz,de,Carvalho,prox.,a,R.Ernest,Renan,(Morumbi/Giovanni),,,,,,,
6037,9902019,Rua,Vergueiro,proximo,a,Rua,Prof.,Vilalva,Jr.,(Centro/Bairro),,,,,,,,,
6038,9902019,Rua,Vergueiro,proximo,a,Rua,Prof.,Vilalva,Jr.,(Bairro/Centro),,,,,,,,,
6039,9902026,Rua,Solidonio,Leite,altura,do,n0,2.563,(Centro/Bairro),,,,,,,,,,
6040,9902026,Rua,Solidonio,Leite,altura,do,n0,2.563,(Bairro/Centro),,,,,,,,,,
6041,9902034,R.,Nossa,Senhora,da,Saude,proximo,a,R.,Daniel,Marot,(Anchieta/Imigrantes),,,,,,,
6042,9902034,R.,Nossa,Senhora,da,Saude,proximo,a,R.,Daniel,Marot,(Imigrantes/Anchieta),,,,,,,
6043,9902027,R.,Engenheiro,Oscar,Americano,proximo,a,R.,Circular,do,Bosque,(Bairro/Centro),,,,,,,
6044,9902028,Av.,Interlagos,altura,do,numero,7.228,(Centro/Bairro),,,,,,,,,,,
6045,9902029,Av.,Interlagos,altura,do,numero,7.228,(Bairro/Centro),,,,,,,,,,,
6046,9902022,Av.,Senador,Teotonio,Vilela,proximo,a,R.,Transamazonica,(Centro/Bairro),,,,,,,,,
6047,9902025,Av.,Prof.,Francisco,Morato,altura,do,n0,4.498,(Centro/Bairro),,,,,,,,,
6048,9902054,Av.,Dr.,Gentil,de,Moura,proximo,a,R.,Barauna,(Centro/Bairro),,,,,,,,
6049,9902032,Av.,Da.,Belmira,Marin,proximo,a,R.,Jose,Dias,Paes,(Centro/Bairro),,,,,,,
6050,9902032,Av.,Da.,Belmira,Marin,proximo,a,R.,Jose,Dias,Paes,(Bairro/Centro),,,,,,,
6051,9902033,Av.,Zelina,px.,a,R.,Frei,Antonio,de,Guadalupe,(V.,Alpina/V.,Prudente),,,,,,
6052,9902033,Av.,Zelina,px.,a,R.,Frei,Antonio,de,Guadalupe,(V.,Prudente/V.,Alpina),,,,,,
6053,9902002,R.,Francisco,Rebelo,proximo,a,R.,Napagoe,(Sao,Lucas/Vila,California),,,,,,,,
6054,9902039,R.,Olivia,Guedes,Penteado,prox.,R.,Nossa,Senhora,do,Socorro,(Centro/Bairro),,,,,,,
6055,9902039,R.,Olivia,Guedes,Penteado,prox.,R.,Nossa,Senhora,do,Socorro,(Bairro/Centro),,,,,,,
6056,9902037,Av.,Dr.,Guilherme,Dumont,Vilares,altura,do,n0,1.093,(Giovanni/Morato),,,,,,,,
6057,9902053,Av.Comendador,Sant'Anna,prox.R.Francesco,Talenti,(Itapecerica/M'Boi,Mirim),,,,,,,,,,,,
6058,9902053,Av.Comendador,Sant'Anna,prox.R.Francesco,Talenti,(M'Boi,Mirim/Itapecerica),,,,,,,,,,,,
6059,9902052,Av.,Maria,Coelho,Aguiar,prox.,R.,Antonio,da,Mata,Junior,(Centro/Bairro),,,,,,,
6060,9902052,Av.,Maria,Coelho,Aguiar,prox.,R.,Antonio,da,Mata,Junior,(Bairro/Centro),,,,,,,
6061,9902043,R.,do,Lavapes,altura,do,n0,598,(Centro/Bairro),,,,,,,,,,
6062,9902038,Estr.,do,Alvarenga,alt.Praca,Alexandre,Francisco,Reboucas,(Centro/Bairro),,,,,,,,,,
6063,9902038,Estr.,do,Alvarenga,alt.Praca,Alexandre,Francisco,Reboucas,(Bairro/Centro),,,,,,,,,,
6064,9902018,R.Jose,Ramon,Urtizaprox.,R.,Fabio,Lopes,Santos,Luz,(Marg.Pinheiros/Giovanni),,,,,,,,,
6065,9902018,R.Jose,Ramon,Urtizaprox.,R.,Fabio,Lopes,Santos,Luz,(Giovanni/Marg.Pinheiros),,,,,,,,,
6066,9902044,R.,Eng.,Ranulfo,Pinheiro,de,Lima,prox.,a,R.,Peacaba,(Ipiranga/V.Mariana),,,,,,,
6067,9902030,Av.,Giovanni,Gronchi,altura,do,n0,3.107,(sent.,Centro/Bairro),,,,,,,,,
6068,9902030,Av.,Giovanni,Gronchi,altura,do,n0,3.107,(sent.,Bairro/Centro),,,,,,,,,
6069,9902036,Estr.,da,Barreira,Grande,proximo,a,R.,Tuma,Maluly,(sent.,Centro/Bairro),,,,,,,
6070,9902036,Estr.,da,Barreira,Grande,proximo,a,R.,Tuma,Maluly,(sent.,Bairro/Centro),,,,,,,
6071,9902035,Estr.,da,Barreira,Grande,altura,do,n0,2.079,(sent.,Centro/Bairro),,,,,,,,
6072,9902035,Estr.,da,Barreira,Grande,altura,do,n0,2.079,(sent.,Bairro/Centro),,,,,,,,
6073,9902049,Av.,Eng.,Alberto,de,Zagottis,prox.,a,R.,Salim,Antonio,Curiati,(Centro/Bairro),,,,,,
6074,9902050,Av.,Eng.,Alberto,de,Zagottis,prox.,a,R.,Salim,Antonio,Curiati,(Bairro/Centro),,,,,,
6075,9902048,Estr.,do,Campo,Limpo,proximo,a,R.,Guanaja,(sent.,Campo,Limpo/Marginal),,,,,,,
6076,9902045,R.,Costa,Barros,altura,do,n0,1.448,(sent.,Centro/Bairro),,,,,,,,,
6077,9902045,R.,Costa,Barros,altura,do,n0,1.448,(sent.,Bairro/Centro),,,,,,,,,
6078,9902051,R.,Mal.,Hastimphilo,de,Moura,prox,a,R.,Prof.,Julio,de,Oliveira,(Giovanni/Morato),,,,,
6079,9902051,R.,Mal.,Hastimphilo,de,Moura,prox.,a,R.,Prof.,Julio,de,Oliveira,(Morato/Giovanni),,,,,
6080,9902041,Av.,Pres.,Altino,proximo,a,Rua,Sao,Fidelis,(sent.,Jaguare/Rio,Pequeno),,,,,,,
6081,9902041,Av.,Pres.,Altino,proximo,a,Rua,Sao,Fidelis,(sent.,Rio,Pequeno/Jaquare),,,,,,,
6082,9902040,Estr.,do,Campo,Limpo,altura,do,n0,5.211,(sent.,V.,Sonia/Campo,Limpo),,,,,,
6083,9902040,Estr.,do,Campo,Limpo,altura,do,n0,5.211,(sent.,Campo,Limpo/V.,Sonia),,,,,,
6084,9902042,R.,Ribeiro,Lacerda,proximo,a,Rua,Fonseca,da,Costa,(sent.,Anchieta/Imigrantes),,,,,,,
6085,9902042,R.,Ribeiro,Lacerda,proximo,a,Rua,Fonseca,da,Costa,(sent.,Imigrantes/Anchieta),,,,,,,
6086,9902047,Av.,do,Rio,Bonito,proximo,a,Rua,Angelo,Santi,(sent.,Interlagos/Guarapiranga),,,,,,,
6087,9902047,Av.,do,Rio,Bonito,proximo,a,Rua,Angelo,Santi,(sent.,Guarapiranga/Interlagos),,,,,,,
6088,9902031,Tunel,Sebastiao,Camargo,Emboque,(sent.,Morumbi/Ibirapuera),,,,,,,,,,,,
6089,9902046,Av.,do,Oratorio,proximo,a,Rua,Jorge,Silva,Luz,(sent.,Centro/Bairro),,,,,,,
6090,9902046,Av.,do,Oratorio,proximo,a,Rua,Jorge,Silva,Luz,(sent.,Bairro/Centro),,,,,,,
6500,411,R.,Fernao,Carrilho,Proximo,a,Av.,Miguel,Achiole,da,Fonseca,(sent.,Ferraz,de,Vasconcelos/Guaianazes),,,,
6501,411,R.,Fernao,Carrilho,Proximo,a,Av.,Miguel,Achiole,da,Fonseca,(sent.,Guaianazes/,Ferraz,de,Vasconcelos),,,
6502,413,R.,Con.,Antonio,Manzi,Proximo,a,Av.,agua,Vermelha,(sent.,Nordestina/Lageado),,,,,,,
6503,413,R.,Con.,Antonio,Manzi,Proximo,a,Av.,agua,Vermelha,(sent.,Lageado/Nordestina),,,,,,,
6504,412,R.,Salvador,Gianetti,Altura,do,n0,386,(sent.,Centro/Bairro),,,,,,,,,
6505,412,R.,Salvador,Gianetti,Altura,do,n0,386,(sent.,Bairro/Centro),,,,,,,,,
6506,416,R.,Jardim,Tamoio,Proximo,a,R.,Cristovao,de,Salamanca,(sent.,Itaquera/Guaianazes),,,,,,,
6507,416,R.,Jardim,Tamoio,Proximo,a,R.,Cristovao,de,Salamanca,(sent.,Guaianazes/Itaquera),,,,,,,
6508,415,Av.,dos,Latinos,Proximo,a,R.,Meridionais,(sent.,Aricanduva/Cidade,Lider),,,,,,,,
6509,415,Av.,dos,Latinos,Proximo,a,R.,Meridionais,(sent.,Cidade,Lider/Aricanduva),,,,,,,,
6510,414,Av.,Paranagua,Altura,do,n0,2.07,(sent.,Assis,Ribeiro/Sao,Miguel),,,,,,,,
6511,414,Av.,Paranagua,Altura,do,n0,2.07,(sent.,Sao,Miguel/Assis,Ribeiro),,,,,,,,
6512,418,Av.,Amador,Bueno,da,Veiga,prox.,a,R.,Pedro,Alegretti,(sent.,Centro/Bairro),,,,,,
6513,418,Av.,Amador,Bueno,da,Veiga,prox.,a,R.,Pedro,Alegretti,(sent.,Bairro/Centro),,,,,,
6514,428,R.,Olho,D’agua,do,Borges,altura,do,n0,184,(sent.,Centro/Bairro),,,,,,,
6515,428,R.,Olho,D’agua,do,Borges,altura,do,n0,184,(sent.,Bairro/Centro),,,,,,,
6516,423,Av.,Barao,de,Alagoas,prox.,a,R.,Itajuibe,(sent.,Centro/Bairro),,,,,,,,
6517,423,Av.,Barao,de,Alagoas,prox.,a,R.,Itajuibe,(sent.,Bairro/Centro),,,,,,,,
6518,422,R.,Itingucu,altura,do,n0,1.503,(sent.,Centro/Bairro),,,,,,,,,,
6519,422,R.,Itingucu,altura,do,n0,1.503,(sent.,Bairro/Centro),,,,,,,,,,
6520,426,R.,Manuel,Bueno,da,Fonseca,altura,do,n0,300,(sent.,Centro/Bairro),,,,,,,
6521,426,R.,Manuel,Bueno,da,Fonseca,altura,do,n0,300,(sent.,Bairro/Centro),,,,,,,
6522,419,Estr.,Dom,Joao,Nery,prox.,a,R.,Sabinopolis,(sent.,Itaim,Paulista/Lageado),,,,,,,
6523,419,Estr.,Dom,Joao,Nery,prox.,a,R.,Sabinopolis,(sent.,Lageado/Itaim,Paulista),,,,,,,
6524,427,R.,Sabbado,D’Angelo,prox.,a,R.,Cautaros,(sent.,Sao,Miguel/Iguatemi),,,,,,,,
6525,427,R.,Sabbado,D’Angelo,prox.,a,R.,Cautaros,(sent.,Iguatemi/Sao,Miguel),,,,,,,,
6526,424,R.,Luis,Mateus,prox.,a,R.,Gal.,Moreira,Couto,(sent.,Sao,Miguel/Iguatemi),,,,,,
6527,424,R.,Luis,Mateus,prox.,a,R.,Gal.,Moreira,Couto,(sent.,Iguatemi/Sao,Miguel),,,,,,
6528,453,Vd.,Armando,Puglisi,do,Bexiga,prox.,Pca,Dom,Orione,(sent.,Paraiso/Consolacao),,,,,,,
6529,454,R.,Maestro,Cardim,prox.,a,R.,Raul,Carmilo,(sent.,Paraiso/Liberdade),,,,,,,,
6530,455,R.,Eng.,Edgar,Egidio,de,Sousa,altura,do,n0,303,(sent.,Santa,Cecilia/Pacaembu),,,,,
6531,439,Av.,alvaro,Ramos,prox.,a,R.,Manuel,Pereira,Lobo,(sent.,Centro/Bairro),,,,,,,
6532,439,Av.,alvaro,Ramos,prox.,a,R.,Manuel,Pereira,Lobo,(sent.,Bairro/Centro),,,,,,,
6533,436,Av.,Celso,Garcia,alt.,do,n0,4.911,(sent.,Bairro/Centro),,,,,,,,,
6534,425,Av.,Renata,alt.,do,n0,257,(sent.,Aricanduva/Sapopemba),,,,,,,,,,
6535,425,Av.,Renata,alt.,do,n0,257,(sent.,Sapopemba/Aricanduva),,,,,,,,,,
6536,435,R.,Celso,de,Azevedo,Marques,alt.,do,n0,196,(sent.,Centro/Bairro),,,,,,,
6537,435,R.,Celso,de,Azevedo,Marques,alt.,do,n0,196,(sent.,Bairro/Centro),,,,,,,
6538,420,Av.,Cangaiba,prox.,R.,Domingos,de,Lucca,(sent.,Centro/Bairro),,,,,,,,,
6539,420,Av.,Cangaiba,prox.,R.,Domingos,de,Lucca,(sent.,Bairro/Centro),,,,,,,,,
6540,431,R.,da,Passagem,Funda,prox.,R.,Prof.,Tadeu,(sent.,Iguatemi/Guaianazes),,,,,,,,
