cod_prodam,desc_local,latitude,longitude
2613,"Av dos Bandeirantes, Pista Expressa (Marg/Imig),a mais 23m da R Porto Martins",-23.59928700000000000,-46.68653100000000200
2614,Estrada do Campo Limpo (Centro/Bairro) Número 3677,-23.63023400000000200,-46.77049600000000100
2615,Estrada do Campo Limpo (Bairro/Centro) a mais 35m da Rua Batista Crespo,-23.63069499999999900,-46.77055000000000000
2616,Avenida Escola Politécnica (Marginal Pinheiros/Raposo) Número 5050,-23.57494200000000000,-46.76557199999999900
2617,"Avenida Escola Politécnica (Raposo/Marginal Pinheiros), Número 5173",-23.57283800000000100,-46.76419800000000000
2618,Avenida Escola Politécnica (Raposo/Marginal Pinheiros) a mais 29m do Nr 3545,-23.56464199999999900,-46.75446699999999800
2619,Av Eng Armando de Arruda Pereira (C/B) a mais 121m da R Luiz Carlos Fachini,-23.65667200000000000,-46.63653600000000000
2620,"Avenida Morumbi (Francisco Morato/Marginal Pinheiros), oposto ao número 6341",-23.61712000000000000,-46.70866900000000000
2621,"Avenida Morumbi (Marginal Pinheiros/Francisco Morato), número 6341",-23.61723320000000100,-46.70868649999999900
2622,"Av dos Bandeirantes (Imigrantes/Marginal), a menos 68m da R Antônio Gomide",-23.62338660000000000,-46.65090200000000200
2623,"Av dos Bandeirantes, Pta Expressa (Imig/Marg) a menos 34m da R Lourenço Marques",-23.59918400000000100,-46.68584400000000300
2625,"Av das Nações Unidas (Interl/C.Branco), a mais 300M da Rua Eng Mesquita Sampaio",-23.62417800000000100,-46.70443000000000200
2626,"Av das Nações Unidas (Interl/C.Branco), a mais 300M da Rua Eng Mesquita Sampaio",-23.62417800000000100,-46.70443000000000200
2627,"Marginal Pinheiros, Pista Expressa (Interlagos/C.Branco) a mais 103m do Km 12",-23.60733649999999900,-46.69742660000000000
2627,"Marginal Pinheiros, Pista Expressa (Interlagos/C.Branco) a mais 103m do Km 12",-23.60733400000000200,-46.69753600000000000
2629,"Marginal Pinheiros, Pista Expressa (Interlagos/C.Branco), a menos 66,0m do Km 14",-23.62378500000000200,-46.70455599999999700
2631,"Avenida das Nações Unidas (Interlagos/Castelo Branco), Número 7203",-23.56428100000000100,-46.70331600000000100
2632,"Marginal Pinheiros, Pista Expressa (Interlagos/C. Branco) a mais 139m do km 1",-23.54156332999999900,-46.73810600000000200
2634,"Marginal Pinheiros, Pista Expressa (Interlagos/C.Branco) a mais 106m do Km 16",-23.63691700000000000,-46.72045500000000100
2636,"Marginal Pinheiros, Pista Expressa (C.Branco/Interlagos), a menos 242m do Km 2",-23.53963500000000000,-46.74243899999999700
2638,"Marginal Pinheiros (Castelo Branco/Interlagos), Número 16741",-23.63026199999999800,-46.71673200000000000
2640,Avenida Washington Luis (Centro/Bairro) a menos 19 metros da Avenida Dória,-23.63964800000000100,-46.67380899999999900
2641,Avenida Washington Luis (Bairro/Centro) a menos 76m da Rua Robélia,-23.64902500000000200,-46.67623499999999800
2642,Av Washington Luis (B/C) a menos 9m da R Doutor Abelardo Vergueiro Cesar,-23.64106000000000000,-46.67330200000000000
2643,"Av Affonso D'Escragnolle Taunay (Marg/Imig), a mais 54,5m do Vd Dante Delmanto",-23.62952599999999800,-46.64065600000000000
2644,Avenida Corifeu de Azevedo Marques (Centro/Bairro) Número 250,-23.57013299999999800,-46.71782700000000000
2645,Avenida Corifeu de Azevedo Marques (Centro/Bairro) Número 250,-23.57013299999999800,-46.71782700000000000
2646,"Av Corifeu de Azevedo Marques (Bairro/Centro) a mais de 9,5M da R Padre Justino",-23.57114599999999900,-46.71963100000000000
2647,"Av Corifeu de Azevedo Marques (Bairro/Centro) a mais de 9,5M da R Padre Justino",-23.57114599999999900,-46.71963100000000000
